name,city,cuisines,price_range,avg_cost_for_two,rating
Hauz Khas Social,New Delhi,Continental:American:Asian:North Indian,3,1600,4.3
Qubitos - The Terrace Cafe,New Delhi,Thai:European:Mexican:North Indian:Chinese:Cafe,3,1500,4.5
The Hudson Cafe,New Delhi,Cafe:Italian:Continental:Chinese,2,850,4.4
Summer House Cafe,New Delhi,Italian:Continental,3,1850,4.1
38 Barracks,New Delhi,North Indian:Italian:Asian:American,3,1600,4.4
Spezia Bistro,New Delhi,Cafe:Continental:Chinese:Italian,2,900,4.6
Manhattan Brewery & Bar Exchange,Gurgaon,Finger Food:American:Continental:North Indian:Italian,4,2000,4.6
The Wine Company,Gurgaon,Italian:European,4,2000,2.4
Farzi Cafe,New Delhi,Modern Indian,4,2200,4.4
Indian Grill Room,Gurgaon,North Indian:Mughlai,3,1800,4.5
Cafeteria & Co.,New Delhi,Continental:Mexican,2,900,4.6
Farzi Cafe,Gurgaon,Modern Indian,4,2200,4.3
Molecule Air Bar,Gurgaon,Continental:North Indian:Italian:Chinese,3,1500,4.2
HotMess,New Delhi,North Indian:Mediterranean:Asian:Fast Food,3,1900,4.3
My Bar Headquarters,New Delhi,North Indian:Mughlai:Chinese,3,1000,3.7
FLYP@MTV,New Delhi,North Indian:Mexican:Italian:Continental,3,1200,3.9
Tamasha,New Delhi,Finger Food:North Indian:Continental:Italian,3,1600,3.7
The Barbeque Company,New Delhi,North Indian:Chinese:Continental,3,1200,4.2
Saravana Bhavan,New Delhi,South Indian,2,500,4.3
Odeon Social,New Delhi,Continental:American:Asian:North Indian,3,1600,4.1
Spice Kraft,Kolkata,Continental:Middle Eastern:Asian,3,1200,4.8
Hoppipola,Kolkata,Italian:Mexican:American:Mediterranean,3,1200,4.2
Barbeque Nation,Kolkata,North Indian:Chinese,3,1600,4.9
Peter Cat,Kolkata,Continental:North Indian,3,1000,4.3
Barbeque Nation,Kolkata,North Indian:Chinese,3,1600,4.9
What's Up,Kolkata,Cafe:Chinese:Continental,3,1000,4.0
6 Ballygunge Place,Kolkata,Bengali,3,1000,4.4
TGI Friday's,Kolkata,Tex-Mex:American,3,1800,4.0
The Irish House,Kolkata,European:American,3,1900,4.4
Asia Kitchen by Mainland China,Kolkata,Asian:Chinese,3,1400,4.6
India Restaurant,Kolkata,Biryani:North Indian:Chinese:Mughlai,2,800,4.6
Nawwarah,Kolkata,Chinese:Cafe:North Indian:Desserts,3,1000,3.9
Santa's Fantasea,Kolkata,Seafood:Chinese,2,800,4.2
Mumbai Local,Kolkata,North Indian:Chinese:Street Food,3,1200,4.2
Sigree Global Grill,Kolkata,North Indian,3,1600,4.1
BarBQ,Kolkata,Chinese:North Indian,2,900,4.2
Mocambo,Kolkata,Continental:Italian:North Indian,3,1050,3.5
Gabbar's Bar & Kitchen,Kolkata,North Indian:Chinese:Mexican:Italian,3,1400,4.4
Ocean Grill,Kolkata,Continental:Seafood:North Indian:Asian,3,1500,3.6
Flame & Grill,Kolkata,North Indian:Continental,3,1500,3.9
Farzi Cafe,Mumbai,Modern Indian,3,1500,4.3
